,HourUTC,HourDK,PriceArea,SpotPriceDKK,SpotPriceEUR,timestamp,hour_of_day,HourlySettledConsumption
0,2021-12-31 23:00,2022-01-01 00:00,DK1,372.200012,50.049999,2022-01-01 00:00:00,0,57290.21875
1,2022-01-01 00:00,2022-01-01 01:00,DK1,307.350006,41.330002,2022-01-01 01:00:00,1,56754.117188
2,2022-01-01 01:00,2022-01-01 02:00,DK1,321.410004,43.220001,2022-01-01 02:00:00,2,56993.726563
3,2022-01-01 02:00,2022-01-01 03:00,DK1,338.059998,45.459999,2022-01-01 03:00:00,3,57360.4375
4,2022-01-01 03:00,2022-01-01 04:00,DK1,280.130005,37.669998,2022-01-01 04:00:00,4,57275.882813
5,2022-01-01 04:00,2022-01-01 05:00,DK1,295.230011,39.700001,2022-01-01 05:00:00,5,58151.214844
6,2022-01-01 05:00,2022-01-01 06:00,DK1,301.850006,40.59,2022-01-01 06:00:00,6,48345.378906
7,2022-01-01 06:00,2022-01-01 07:00,DK1,321.700012,43.259998,2022-01-01 07:00:00,7,47584.101563
8,2022-01-01 07:00,2022-01-01 08:00,DK1,369.299988,49.66,2022-01-01 08:00:00,8,59819.261719
9,2022-01-01 08:00,2022-01-01 09:00,DK1,520.929993,70.050003,2022-01-01 09:00:00,9,61772.285156
10,2022-01-01 09:00,2022-01-01 10:00,DK1,571.049988,76.790001,2022-01-01 10:00:00,10,51885.230469
11,2022-01-01 10:00,2022-01-01 11:00,DK1,625.409973,84.099998,2022-01-01 11:00:00,11,52401.46875
12,2022-01-01 11:00,2022-01-01 12:00,DK1,704.530029,94.739998,2022-01-01 12:00:00,12,53129.195313
13,2022-01-01 12:00,2022-01-01 13:00,DK1,719.849976,96.800003,2022-01-01 13:00:00,13,60242.398438
14,2022-01-01 13:00,2022-01-01 14:00,DK1,722.599976,97.169998,2022-01-01 14:00:00,14,54157.84375
15,2022-01-01 14:00,2022-01-01 15:00,DK1,753.090027,101.269997,2022-01-01 15:00:00,15,54589.1875
16,2022-01-01 15:00,2022-01-01 16:00,DK1,941.460022,126.599998,2022-01-01 16:00:00,16,56593.289063
17,2022-01-01 16:00,2022-01-01 17:00,DK1,1115.25,149.970001,2022-01-01 17:00:00,17,56141.742188
18,2022-01-01 17:00,2022-01-01 18:00,DK1,1088.180054,146.330002,2022-01-01 18:00:00,18,55709.261719
19,2022-01-01 18:00,2022-01-01 19:00,DK1,1043.189941,140.279999,2022-01-01 19:00:00,19,55268.492188
20,2022-01-01 19:00,2022-01-01 20:00,DK1,906.359985,121.879997,2022-01-01 20:00:00,20,75769.59375
21,2022-01-01 20:00,2022-01-01 21:00,DK1,763.059998,102.610001,2022-01-01 21:00:00,21,75836.390625
22,2022-01-01 21:00,2022-01-01 22:00,DK1,707.359985,95.120003,2022-01-01 22:00:00,22,79586.773438
23,2022-01-01 22:00,2022-01-01 23:00,DK1,618.049988,83.110001,2022-01-01 23:00:00,23,99707.671875
24,2022-01-01 23:00,2022-01-02 00:00,DK1,424.480011,57.080002,2022-01-02 00:00:00,0,97522.523438
25,2022-01-02 00:00,2022-01-02 01:00,DK1,391.089996,52.59,2022-01-02 01:00:00,1,72447.71875
26,2022-01-02 01:00,2022-01-02 02:00,DK1,364.170013,48.970001,2022-01-02 02:00:00,2,73620.382813
27,2022-01-02 02:00,2022-01-02 03:00,DK1,259.829987,34.939999,2022-01-02 03:00:00,3,74133.210938
28,2022-01-02 03:00,2022-01-02 04:00,DK1,219.820007,29.559999,2022-01-02 04:00:00,4,73196.6875
29,2022-01-02 04:00,2022-01-02 05:00,DK1,252.619995,33.970001,2022-01-02 05:00:00,5,74803.421875
30,2022-01-02 05:00,2022-01-02 06:00,DK1,256.709991,34.52,2022-01-02 06:00:00,6,77504.875
31,2022-01-02 06:00,2022-01-02 07:00,DK1,310.850006,41.799999,2022-01-02 07:00:00,7,78740.617188
32,2022-01-02 07:00,2022-01-02 08:00,DK1,364.019989,48.950001,2022-01-02 08:00:00,8,73093.203125
33,2022-01-02 08:00,2022-01-02 09:00,DK1,446.26001,60.009998,2022-01-02 09:00:00,9,72315.148438
34,2022-01-02 09:00,2022-01-02 10:00,DK1,521.219971,70.089996,2022-01-02 10:00:00,10,76934.484375
35,2022-01-02 10:00,2022-01-02 11:00,DK1,492.73999,66.260002,2022-01-02 11:00:00,11,67359.25
36,2022-01-02 11:00,2022-01-02 12:00,DK1,479.950012,64.540001,2022-01-02 12:00:00,12,71739.085938
37,2022-01-02 12:00,2022-01-02 13:00,DK1,349.220001,46.959999,2022-01-02 13:00:00,13,71664.632813
38,2022-01-02 13:00,2022-01-02 14:00,DK1,364.829987,49.060001,2022-01-02 14:00:00,14,64116.890625
39,2022-01-02 14:00,2022-01-02 15:00,DK1,557.659973,74.989998,2022-01-02 15:00:00,15,58158.691406
40,2022-01-02 15:00,2022-01-02 16:00,DK1,655.530029,88.150002,2022-01-02 16:00:00,16,52152.785156
41,2022-01-02 16:00,2022-01-02 17:00,DK1,709.440002,95.400002,2022-01-02 17:00:00,17,49602.960938
42,2022-01-02 17:00,2022-01-02 18:00,DK1,653.219971,87.839996,2022-01-02 18:00:00,18,48705.21875
43,2022-01-02 18:00,2022-01-02 19:00,DK1,530.0,71.269997,2022-01-02 19:00:00,19,48371.730469
44,2022-01-02 19:00,2022-01-02 20:00,DK1,402.459991,54.119999,2022-01-02 20:00:00,20,62724.421875
45,2022-01-02 20:00,2022-01-02 21:00,DK1,343.269989,46.16,2022-01-02 21:00:00,21,75232.601563
46,2022-01-02 21:00,2022-01-02 22:00,DK1,344.23999,46.290001,2022-01-02 22:00:00,22,75158.679688
47,2022-01-02 22:00,2022-01-02 23:00,DK1,244.880005,32.93,2022-01-02 23:00:00,23,75920.585938
48,2022-01-02 23:00,2022-01-03 00:00,DK1,98.160004,13.2,2022-01-03 00:00:00,0,100867.953125
49,2022-01-03 00:00,2022-01-03 01:00,DK1,148.139999,19.92,2022-01-03 01:00:00,1,76163.78125
50,2022-01-03 01:00,2022-01-03 02:00,DK1,147.759995,19.870001,2022-01-03 02:00:00,2,76923.726563
51,2022-01-03 02:00,2022-01-03 03:00,DK1,98.459999,13.24,2022-01-03 03:00:00,3,101543.617188
52,2022-01-03 03:00,2022-01-03 04:00,DK1,0.74,0.1,2022-01-03 04:00:00,4,103247.5625
53,2022-01-03 04:00,2022-01-03 05:00,DK1,2.38,0.32,2022-01-03 05:00:00,5,105890.195313
54,2022-01-03 05:00,2022-01-03 06:00,DK1,279.23999,37.549999,2022-01-03 06:00:00,6,90105.023438
55,2022-01-03 06:00,2022-01-03 07:00,DK1,660.059998,88.760002,2022-01-03 07:00:00,7,96334.398438
56,2022-01-03 07:00,2022-01-03 08:00,DK1,914.169983,122.93,2022-01-03 08:00:00,8,96373.742188
57,2022-01-03 08:00,2022-01-03 09:00,DK1,819.280029,110.169998,2022-01-03 09:00:00,9,90935.679688
58,2022-01-03 09:00,2022-01-03 10:00,DK1,694.419983,93.379997,2022-01-03 10:00:00,10,85187.898438
59,2022-01-03 10:00,2022-01-03 11:00,DK1,674.710022,90.730003,2022-01-03 11:00:00,11,84695.554688
60,2022-01-03 11:00,2022-01-03 12:00,DK1,612.539978,82.370003,2022-01-03 12:00:00,12,85002.835938
61,2022-01-03 12:00,2022-01-03 13:00,DK1,601.609985,80.900002,2022-01-03 13:00:00,13,72483.289063
62,2022-01-03 13:00,2022-01-03 14:00,DK1,602.280029,80.989998,2022-01-03 14:00:00,14,71084.429688
63,2022-01-03 14:00,2022-01-03 15:00,DK1,729.150024,98.050003,2022-01-03 15:00:00,15,78161.023438
64,2022-01-03 15:00,2022-01-03 16:00,DK1,896.469971,120.550003,2022-01-03 16:00:00,16,83991.78125
